impl	case	pipeline	type	time	score
minipass-current	fast-mixed	1	defaults	13.639082908630371	2371.781752165752
minipass-current-async	fast-mixed	1	obj	13.420375108718872	2410.4339630528684
minipass-current-async	fast-slow	1	obj	13.320249795913696	2428.5526513841432
minipass-current	slow-fast	1	defaults	13.317584037780762	2429.0387706354522
minipass-v5	fast-mixed	1	defaults	13.159540891647339	2458.2109835988203
minipass-v4	fast-mixed	1	defaults	13.131667137145996	2463.428871682163
extend-minipass-current	fast-mixed	1	defaults	13.097042083740234	2469.941514437521
minipass-latest	fast-mixed	1	defaults	13.074541091918945	2474.192228357398
extend-minipass-current	fast-slow	1	defaults	13.048874855041504	2479.058793829042
minipass-latest	slow-fast	1	str	13.026999950408936	2483.2216229454907
minipass-v5	slow-fast	1	defaults	12.915709018707275	2504.618825966945
minipass-latest	fast-slow	1	defaults	12.913458108901978	2505.0553992710406
minipass-v4	slow-fast	1	defaults	12.893832921981812	2508.8682438110263
minipass-current	fast-slow	1	defaults	12.837042093276978	2519.9674289380964
minipass-v3	fast-slow	1	defaults	12.820749998092651	2523.169702535177
minipass-v4	fast-slow	1	defaults	12.763917207717896	2534.404402075331
minipass-v5	fast-slow	1	defaults	12.69533395767212	2548.095864734303
minipass-current-async	slow-fast	1	obj	12.648375034332275	2557.556039503777
extend-minipass-current	fast-slow	1	str	12.627707958221436	2561.7418510145467
extend-minipass-current	fast-mixed	1	str	12.528666973114014	2581.992803255504
minipass-latest	fast-slow	1	str	12.469624996185303	2594.21818770504
minipass-v5	fast-mixed	1	str	12.466333150863647	2594.903213919341
minipass-current	fast-mixed	1	str	12.444166898727417	2599.5254019193053
minipass-current	fast-slow	1	str	12.397625207901001	2609.2842311727045
minipass-latest	fast-mixed	1	str	12.364291906356812	2616.318686421004
minipass-v4	fast-slow	1	str	12.276791095733643	2634.966067819384
minipass-v3	fast-slow	1	str	12.260708093643188	2638.422488480682
minipass-v4	fast-mixed	1	str	12.219375133514404	2647.3471520029725
minipass-v5	fast-slow	1	str	12.118332862854004	2669.420647630797
core-passthrough	slow-fast	1	obj	11.72333288192749	2759.362741361197
core-extend-transform	slow-fast	1	obj	11.64175009727478	2778.699739185938
minipass-latest	slow-fast	1	obj	11.303791046142578	2861.776887675607
minipass-v3	slow-fast	1	obj	9.986666917800903	3239.2116634334134
minipass-v4	slow-fast	1	obj	9.69395899772644	3337.0192680361256
minipass-v5	slow-fast	1	obj	9.628709077835083	3359.632916257828
minipass-current	fast-fast	1	defaults	9.237291097640991	3501.9929129684497
extend-minipass-current	fast-fast	1	defaults	9.193875074386597	3518.530292965024
minipass-latest	fast-fast	1	defaults	9.106709003448486	3552.208371511109
minipass-v4	fast-fast	1	defaults	9.067874908447266	3567.4210645352364
minipass-v5	fast-fast	1	defaults	9.045500040054321	3576.2454055299563
minipass-v3	fast-fast	1	defaults	8.96229100227356	3609.4485160947133
minipass-v3	fast-mixed	1	obj	8.816375017166138	3669.1869272778818
extend-minipass-current	fast-fast	1	str	8.732290983200073	3704.5178660675565
minipass-v4	fast-fast	1	str	8.513124942779541	3799.8887807234923
minipass-current	fast-fast	1	str	8.494791984558105	3808.0894762072357
minipass-v5	fast-fast	1	str	8.363375186920166	3867.9273900753788
minipass-latest	fast-fast	1	str	8.27245807647705	3910.437219494689
